Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
124,"Saturday, Aug 18",BOS,TBR,W,5,2,,88-36,1,up10.5,Price,Glasnow,Kimbrel,2:28,N,36654,++,,2018,BOS
125,"Sunday, Aug 19",BOS,TBR,L,0,2,,88-37,1,up 9.5,Beeks,Velazquez,Romo,2:47,D,37242,-,,2018,BOS
126,"Monday, Aug 20",BOS,CLE,L,4,5,,88-38,1,up 9.0,Kluber,Porcello,Allen,3:01,N,37274,--,,2018,BOS
127,"Tuesday, Aug 21",BOS,CLE,L,3,6,,88-39,1,up 8.0,Bieber,Eovaldi,Hand,2:57,N,37188,---,,2018,BOS
128,"Wednesday, Aug 22",BOS,CLE,W,10,4,,89-39,1,up 9.0,Barnes,Carrasco,,3:24,N,37107,+,,2018,BOS
129,"Thursday, Aug 23",BOS,CLE,W,7,0,,90-39,1,up 9.5,Price,Plutko,,2:47,D,37396,++,,2018,BOS
133,"Tuesday, Aug 28",BOS,MIA,W-wo,8,7,,91-42,1,up 6.5,Kimbrel,Steckenrider,,3:29,N,36708,+,,2018,BOS
134,"Wednesday, Aug 29",BOS,MIA,W,14,6,,92-42,1,up 7.5,Thornburg,Conley,,3:10,N,36628,++,,2018,BOS
142,"Friday, Sep 7",BOS,HOU,L,3,6,,97-45,1,up 8.5,Pressly,Kelly,Osuna,3:38,N,36930,-,,2018,BOS
143,"Saturday, Sep 8",BOS,HOU,L,3,5,,97-46,1,up 7.5,Morton,Rodriguez,Osuna,3:25,D,36684,--,,2018,BOS
144,"Sunday, Sep 9",BOS,HOU,W-wo,6,5,,98-46,1,up 8.5,Kimbrel,Rondon,,3:35,N,32787,+,,2018,BOS
145,"Tuesday, Sep 11",BOS,TOR,W,7,2,,99-46,1,up 9.0,Brasier,Tepera,,3:08,N,34747,++,,2018,BOS
146,"Wednesday, Sep 12",BOS,TOR,W,1,0,,100-46,1,up10.0,Price,Sanchez,Kimbrel,2:41,N,35178,+++,,2018,BOS
147,"Thursday, Sep 13",BOS,TOR,W,4,3,,101-46,1,up10.5,Workman,Barnes,Kimbrel,2:50,N,36427,++++,,2018,BOS
148,"Friday, Sep 14",BOS,NYM,L,0,8,,101-47,1,up 9.5,Syndergaard,Cuevas,,2:59,N,37117,-,,2018,BOS
149,"Saturday, Sep 15",BOS,NYM,W,5,3,,102-47,1,up10.5,Porcello,Sewald,Kimbrel,3:11,D,36611,+,,2018,BOS
150,"Sunday, Sep 16",BOS,NYM,W,4,3,,103-47,1,up11.5,Workman,Lugo,Wright,2:55,D,36526,++,,2018,BOS
157,"Monday, Sep 24",BOS,BAL,W,6,2,,106-51,1,up 9.5,Eovaldi,Bundy,,3:06,N,35619,+,,2018,BOS
158,"Wednesday, Sep 26 (1)",BOS,BAL,W,19,3,,107-51,1,up 9.5,Price,Meisinger,,3:10,D,33577,++,,2018,BOS
159,"Wednesday, Sep 26 (2)",BOS,BAL,L,3,10,,107-52,1,up 9.5,Scott,Barnes,Fry,3:45,N,34445,-,,2018,BOS
160,"Friday, Sep 28",BOS,NYY,L,6,11,,107-53,1,up 8.0,Happ,Johnson,,3:27,N,36779,--,,2018,BOS
161,"Saturday, Sep 29",BOS,NYY,L,5,8,,107-54,1,up 7.0,Lynn,Rodriguez,Chapman,3:40,D,36375,---,,2018,BOS
162,"Sunday, Sep 30",BOS,NYY,W,10,2,,108-54,1,up 8.0,Rodriguez,Cessa,,3:20,D,36201,+,,2018,BOS
12,"Tuesday, Apr 9",BOS,TOR,L,5,7,,3-9,5,6.0,Shoemaker,Sale,Giles,3:36,D,36179,-,,2019,BOS
13,"Thursday, Apr 11",BOS,TOR,W-wo,7,6,,4-9,4,6.0,Walden,Giles,,3:21,N,36510,+,,2019,BOS
14,"Friday, Apr 12",BOS,BAL,W,6,4,,5-9,3,6.0,Rodriguez,Hess,Brasier,2:55,N,33664,++,,2019,BOS
15,"Saturday, Apr 13",BOS,BAL,L,5,9,,5-10,4,6.0,Cashner,Porcello,,3:39,D,35823,-,,2019,BOS
16,"Sunday, Apr 14",BOS,BAL,W,4,0,,6-10,3,6.0,Price,Means,,3:07,D,36023,+,,2019,BOS
17,"Monday, Apr 15",BOS,BAL,L,1,8,,6-11,4,6.5,Straily,Velazquez,,3:17,D,35860,-,,2019,BOS
23,"Tuesday, Apr 23 (1)",BOS,DET,L,4,7,,9-14,4,7.0,Boyd,Brewer,,2:55,D,30015,-,,2019,BOS
24,"Tuesday, Apr 23 (2)",BOS,DET,L,2,4,,9-15,4,7.0,Turnbull,Velazquez,Greene,3:29,N,30578,--,,2019,BOS
25,"Wednesday, Apr 24",BOS,DET,W,11,4,,10-15,4,6.0,Rodriguez,Ross,,3:24,N,31763,+,,2019,BOS
26,"Thursday, Apr 25",BOS,DET,W,7,3,,11-15,4,5.5,Porcello,Zimmermann,,2:39,N,34165,++,,2019,BOS
27,"Saturday, Apr 27",BOS,TBR,L,1,2,,11-16,4,6.5,Morton,Price,Pagan,3:21,D,34773,-,,2019,BOS
28,"Sunday, Apr 28",BOS,TBR,L,2,5,,11-17,4,7.5,Glasnow,Sale,Castillo,2:31,D,33823,--,,2019,BOS
29,"Monday, Apr 29",BOS,OAK,W,9,4,,12-17,4,7.5,Brasier,Montas,Barnes,3:23,N,30866,+,,2019,BOS
30,"Tuesday, Apr 30",BOS,OAK,W,5,1,,13-17,4,7.0,Porcello,Brooks,,2:34,N,31754,++,,2019,BOS
31,"Wednesday, May 1",BOS,OAK,W,7,3,,14-17,4,5.5,Walden,Fiers,,2:54,D,33708,+++,,2019,BOS
39,"Friday, May 10",BOS,SEA,W,14,1,,20-19,3,4.0,Rodriguez,Swanson,,3:02,N,33731,+++,,2019,BOS
40,"Saturday, May 11",BOS,SEA,W,9,5,,21-19,3,4.0,Porcello,Hernandez,,3:15,D,36024,++++,,2019,BOS
41,"Sunday, May 12",BOS,SEA,W,11,2,,22-19,3,3.0,Velazquez,Gonzales,,3:23,D,33069,+++++,,2019,BOS
42,"Tuesday, May 14",BOS,COL,L,4,5,11,22-20,3,4.0,Dunn,Brasier,Davis,3:42,N,35804,-,,2019,BOS
43,"Wednesday, May 15",BOS,COL,W-wo,6,5,10,23-20,3,4.0,Workman,Bettis,,3:44,N,37032,+,,2019,BOS
44,"Friday, May 17",BOS,HOU,L,1,3,,23-21,3,4.5,Harris,Porcello,Osuna,3:00,N,35558,-,,2019,BOS
45,"Saturday, May 18",BOS,HOU,L,3,7,,23-22,3,5.0,James,Velazquez,,3:31,N,36887,--,,2019,BOS
46,"Sunday, May 19",BOS,HOU,W,4,3,,24-22,3,4.5,Walden,Valdez,Workman,3:02,D,35796,+,,2019,BOS
54,"Monday, May 27",BOS,CLE,W,12,5,,29-25,3,6.5,Porcello,Rodriguez,,3:32,D,37113,++,,2019,BOS
55,"Tuesday, May 28",BOS,CLE,L,5,7,,29-26,3,6.5,Wittgren,Lakins,Hand,4:03,N,32984,-,,2019,BOS
56,"Wednesday, May 29",BOS,CLE,L,9,14,,29-27,3,7.5,Bieber,Weber,Hand,3:42,N,34824,--,,2019,BOS
63,"Friday, Jun 7",BOS,TBR,L,1,5,,33-30,3,6.5,Chirinos,Porcello,,2:43,N,36803,-,,2019,BOS
64,"Saturday, Jun 8 (1)",BOS,TBR,L,2,9,,33-31,3,6.0,Yarbrough,Smith,,3:33,D,35564,--,,2019,BOS
65,"Saturday, Jun 8 (2)",BOS,TBR,W,5,1,,34-31,3,6.0,Price,Poche,,3:21,N,37048,+,,2019,BOS
66,"Sunday, Jun 9",BOS,TBR,L,1,6,,34-32,3,7.0,Snell,Rodriguez,,3:32,D,34643,-,,2019,BOS
67,"Monday, Jun 10",BOS,TEX,L,3,4,11,34-33,3,8.0,Chavez,Brasier,Martin,3:25,N,34422,--,,2019,BOS
68,"Tuesday, Jun 11",BOS,TEX,L,5,9,,34-34,3,8.0,Jurado,Hernandez,,3:40,N,35121,---,,2019,BOS
69,"Wednesday, Jun 12",BOS,TEX,W-wo,4,3,,35-34,3,7.5,Barnes,Chavez,,2:54,D,34330,+,,2019,BOS
70,"Thursday, Jun 13",BOS,TEX,W,7,6,,36-34,3,6.5,Workman,Fairbanks,Smith,4:06,N,35841,++,,2019,BOS
77,"Friday, Jun 21",BOS,TOR,W-wo,7,5,10,42-35,3,7.0,Workman,Romano,,3:58,N,36911,++,,2019,BOS
78,"Saturday, Jun 22",BOS,TOR,L,7,8,,42-36,3,8.0,Kingham,Barnes,Giles,3:50,D,36712,-,,2019,BOS
79,"Sunday, Jun 23",BOS,TOR,L,1,6,,42-37,3,8.0,Stroman,Porcello,,3:04,D,36495,--,,2019,BOS
80,"Monday, Jun 24",BOS,CHW,W-wo,6,5,,43-37,3,8.0,Workman,Fry,,3:36,N,36117,+,,2019,BOS
81,"Tuesday, Jun 25",BOS,CHW,W,6,3,,44-37,3,8.0,Price,Ruiz,Workman,3:24,N,34740,++,,2019,BOS
82,"Wednesday, Jun 26",BOS,CHW,L,7,8,,44-38,3,9.0,Colome,Barnes,,3:39,D,36823,-,,2019,BOS
83,"Saturday, Jun 29",BOS,NYY,L,13,17,,44-39,3,10.0,Green,Wright,,4:42,N,59659,--,,2019,BOS
84,"Sunday, Jun 30",BOS,NYY,L,8,12,,44-40,3,11.0,Ottavino,Walden,,4:24,D,59059,---,,2019,BOS
91,"Friday, Jul 12",BOS,LAD,W,8,1,,50-41,3,9.0,Rodriguez,Maeda,,2:52,N,36579,+++++,,2019,BOS
92,"Saturday, Jul 13",BOS,LAD,L,2,11,,50-42,3,9.0,Stripling,Sale,,3:40,N,36607,-,,2019,BOS
93,"Sunday, Jul 14",BOS,LAD,L,4,7,12,50-43,3,10.0,Floro,Velazquez,Kelly,5:40,N,36700,--,,2019,BOS
94,"Monday, Jul 15",BOS,TOR,W,10,8,,51-43,3,9.0,Porcello,Thornton,Workman,3:28,N,35616,+,,2019,BOS
95,"Tuesday, Jul 16",BOS,TOR,L,4,10,,51-44,3,10.0,Shafer,Cashner,,3:45,N,36341,-,,2019,BOS
96,"Wednesday, Jul 17",BOS,TOR,W,5,4,,52-44,3,9.5,Rodriguez,Sanchez,Workman,3:35,N,34853,+,,2019,BOS
