Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
1,"Sunday, Apr 2",ARI,SFG,W-wo,6,5,,1-0,1,up 0.5,Rodney,Melancon,,3:23,D,49016,+,,2017,ARI
2,"Tuesday, Apr 4",ARI,SFG,L,4,8,,1-1,2,1.0,Cueto,Corbin,,3:26,N,19378,-,,2017,ARI
3,"Wednesday, Apr 5",ARI,SFG,W,8,6,,2-1,1,Tied,Walker,Moore,Rodney,3:15,N,14675,+,,2017,ARI
4,"Thursday, Apr 6",ARI,SFG,W,9,3,,3-1,1,Tied,De La Rosa,Samardzija,,3:00,N,15308,++,,2017,ARI
5,"Friday, Apr 7",ARI,CLE,W,7,3,,4-1,1,Tied,Miller,Tomlin,,3:19,N,22443,+++,,2017,ARI
6,"Saturday, Apr 8",ARI,CLE,W,11,2,,5-1,1,Tied,Greinke,Bauer,,3:15,N,28437,++++,,2017,ARI
7,"Sunday, Apr 9",ARI,CLE,W,3,2,,6-1,1,up 1.0,Corbin,Kluber,Rodney,3:02,D,30191,+++++,,2017,ARI
18,"Friday, Apr 21",ARI,LAD,W,13,5,,11-7,2,0.5,Bradley,Stripling,,3:28,N,27018,+,,2017,ARI
19,"Saturday, Apr 22",ARI,LAD,W,11,5,,12-7,2,0.5,Ray,Maeda,,3:20,N,36294,++,,2017,ARI
20,"Sunday, Apr 23",ARI,LAD,L,2,6,,12-8,2,1.5,McCarthy,Miller,,2:54,D,28704,-,,2017,ARI
21,"Monday, Apr 24",ARI,SDP,W,7,6,,13-8,2,1.5,Greinke,Chacin,Rodney,3:05,N,14758,+,,2017,ARI
22,"Tuesday, Apr 25",ARI,SDP,W,9,3,,14-8,2,0.5,Corbin,Richard,,3:02,N,17531,++,,2017,ARI
23,"Wednesday, Apr 26",ARI,SDP,L,5,8,,14-9,2,0.5,Buchter,Rodney,Maurer,3:14,N,12215,-,,2017,ARI
24,"Thursday, Apr 27",ARI,SDP,W,6,2,,15-9,1,up 0.5,Walker,Weaver,,2:21,N,15452,+,,2017,ARI
25,"Friday, Apr 28",ARI,COL,L,1,3,,15-10,2,0.5,Freeland,Ray,Holland,2:53,N,19300,-,,2017,ARI
26,"Saturday, Apr 29",ARI,COL,L,6,7,,15-11,2,1.5,Estevez,Rodney,Holland,3:38,N,30445,--,,2017,ARI
27,"Sunday, Apr 30",ARI,COL,W-wo,2,0,13,16-11,2,0.5,Delgado,Lyles,,4:02,D,23613,+,,2017,ARI
34,"Tuesday, May 9",ARI,DET,L,3,7,,18-16,3,3.0,Verlander,Ray,,3:22,N,20445,---,,2017,ARI
35,"Wednesday, May 10",ARI,DET,W,7,1,,19-16,3,3.0,Godley,Boyd,,2:37,N,18897,+,,2017,ARI
36,"Thursday, May 11",ARI,PIT,W,2,1,,20-16,3,3.0,Greinke,Cole,Rodney,2:34,N,17527,++,,2017,ARI
37,"Friday, May 12",ARI,PIT,W,11,4,,21-16,3,2.0,Corbin,Glasnow,,2:57,N,21911,+++,,2017,ARI
38,"Saturday, May 13",ARI,PIT,L,3,4,,21-17,3,2.0,Williams,Walker,Watson,3:00,N,31673,-,,2017,ARI
39,"Sunday, May 14",ARI,PIT,L,4,6,10,21-18,3,3.0,Watson,Wilhelmsen,,4:08,D,34088,--,,2017,ARI
40,"Monday, May 15",ARI,NYM,W,7,3,,22-18,3,2.5,De La Rosa,Robles,,3:02,N,15988,+,,2017,ARI
41,"Tuesday, May 16",ARI,NYM,W,5,4,,23-18,2,2.5,Greinke,Milone,Rodney,2:52,N,17471,++,,2017,ARI
42,"Wednesday, May 17",ARI,NYM,W-wo,5,4,11,24-18,2,2.0,Wilhelmsen,Montero,,3:30,D,19842,+++,,2017,ARI
46,"Monday, May 22",ARI,CHW,W,5,1,,27-19,2,2.0,Greinke,Gonzalez,,2:39,N,18333,+,,2017,ARI
47,"Tuesday, May 23",ARI,CHW,W,5,4,,28-19,2,2.0,Corbin,Covey,Rodney,2:56,N,17865,++,,2017,ARI
48,"Wednesday, May 24",ARI,CHW,W,8,6,,29-19,2,2.0,Chafin,Quintana,Rodney,3:02,D,18002,+++,,2017,ARI
60,"Tuesday, Jun 6",ARI,SDP,W,10,2,,35-25,2,2.0,Ray,Lamet,,2:52,N,25883,+,,2017,ARI
61,"Wednesday, Jun 7",ARI,SDP,W,7,4,,36-25,2,2.0,Greinke,Perdomo,Rodney,3:48,N,22079,++,,2017,ARI
62,"Thursday, Jun 8",ARI,SDP,W,15,3,,37-25,2,2.0,Corbin,Richard,,2:59,D,21340,+++,,2017,ARI
63,"Friday, Jun 9",ARI,MIL,L,6,8,,37-26,3,3.0,Davies,McFarland,Knebel,3:38,N,25009,-,,2017,ARI
64,"Saturday, Jun 10",ARI,MIL,W,3,2,,38-26,3,3.0,Godley,Guerra,Rodney,2:43,N,40195,+,,2017,ARI
65,"Sunday, Jun 11",ARI,MIL,W,11,1,,39-26,3,2.0,Ray,Anderson,,3:26,D,30370,++,,2017,ARI
74,"Friday, Jun 23",ARI,PHI,L,1,6,,46-28,2,2.5,Leiter,Corbin,,2:54,N,31648,-,,2017,ARI
75,"Saturday, Jun 24",ARI,PHI,W,9,2,,47-28,2,2.5,Ray,Lively,,3:05,N,40557,+,,2017,ARI
76,"Sunday, Jun 25",ARI,PHI,W-wo,2,1,11,48-28,2,2.5,McFarland,Ramos,,3:50,D,28179,++,,2017,ARI
77,"Monday, Jun 26",ARI,PHI,W,6,1,,49-28,2,1.5,Greinke,Pivetta,,3:11,D,20765,+++,,2017,ARI
78,"Tuesday, Jun 27",ARI,STL,W-wo,6,5,10,50-28,2,1.5,Rodney,Bowman,,3:22,N,24256,++++,,2017,ARI
79,"Wednesday, Jun 28",ARI,STL,L,3,4,,50-29,2,1.5,Wainwright,Godley,Rosenthal,3:18,N,23188,-,,2017,ARI
80,"Thursday, Jun 29",ARI,STL,L,4,10,,50-30,2,2.5,Lynn,De La Rosa,,3:18,D,27603,--,,2017,ARI
81,"Friday, Jun 30",ARI,COL,L,3,6,,50-31,2,3.5,Gray,Ray,Holland,3:31,N,23275,---,,2017,ARI
82,"Saturday, Jul 1",ARI,COL,W,6,2,,51-31,2,3.5,Greinke,Chatwood,Rodney,2:38,N,46338,+,,2017,ARI
83,"Sunday, Jul 2",ARI,COL,W-wo,4,3,,52-31,2,2.5,Rodney,Ottavino,,3:04,D,34556,++,,2017,ARI
87,"Friday, Jul 7",ARI,CIN,W,6,3,,53-34,2,5.5,Greinke,Adleman,Rodney,2:57,N,27006,+,,2017,ARI
88,"Saturday, Jul 8",ARI,CIN,L,0,7,,53-35,2,6.5,Castillo,Walker,,3:00,N,29806,-,,2017,ARI
89,"Sunday, Jul 9",ARI,CIN,L,1,2,,53-36,2,7.5,Bailey,Corbin,Iglesias,2:53,D,24923,--,,2017,ARI
96,"Friday, Jul 21",ARI,WSN,W-wo,6,5,,56-40,2,9.5,Rodney,Romero,,3:23,N,37858,++,,2017,ARI
97,"Saturday, Jul 22",ARI,WSN,L,3,4,,56-41,2,10.5,Roark,Banda,Doolittle,2:56,N,39176,-,,2017,ARI
98,"Sunday, Jul 23",ARI,WSN,L,2,6,,56-42,3,11.5,Blanton,Ray,,3:39,D,32720,--,,2017,ARI
99,"Monday, Jul 24",ARI,ATL,W,10,2,,57-42,2,11.5,Greinke,Dickey,,3:00,N,20862,+,,2017,ARI
100,"Tuesday, Jul 25",ARI,ATL,L,3,8,,57-43,2,12.5,Foltynewicz,Hoover,,3:10,N,25069,-,,2017,ARI
101,"Wednesday, Jul 26",ARI,ATL,W,10,3,,58-43,2,12.5,Corbin,Blair,,3:17,D,25836,+,,2017,ARI
112,"Tuesday, Aug 8",ARI,LAD,W,6,3,,64-48,2,15.0,Hernandez,Watson,Rodney,2:59,N,24810,+,,2017,ARI
113,"Wednesday, Aug 9",ARI,LAD,L,2,3,,64-49,3,16.0,Wood,Greinke,Jansen,2:48,N,22670,-,,2017,ARI
114,"Thursday, Aug 10",ARI,LAD,L,6,8,,64-50,3,17.0,Darvish,Banda,Jansen,3:37,N,31396,--,,2017,ARI
115,"Friday, Aug 11",ARI,CHC,L,3,8,,64-51,3,17.0,Lackey,Walker,,3:23,N,39131,---,,2017,ARI
116,"Saturday, Aug 12",ARI,CHC,W,6,2,,65-51,2,17.0,Corbin,Lester,Hernandez,3:05,N,42219,+,,2017,ARI
117,"Sunday, Aug 13",ARI,CHC,L,2,7,,65-52,2,18.0,Arrieta,Godley,,3:12,D,41760,-,,2017,ARI
118,"Monday, Aug 14",ARI,HOU,W,2,0,,66-52,2,17.5,Greinke,McHugh,Rodney,2:48,N,20405,+,,2017,ARI
119,"Tuesday, Aug 15",ARI,HOU,L,4,9,,66-53,2,18.5,Martes,Banda,,3:07,D,16935,-,,2017,ARI
129,"Friday, Aug 25",ARI,SFG,W,4,3,,71-58,2,21.0,Greinke,Blach,Rodney,2:54,N,31924,++,,2017,ARI
130,"Saturday, Aug 26",ARI,SFG,W,2,1,,72-58,2,20.0,Walker,Bumgarner,Rodney,2:34,N,25709,+++,,2017,ARI
131,"Sunday, Aug 27",ARI,SFG,W,11,0,,73-58,2,19.0,Corbin,Stratton,,3:03,D,23210,++++,,2017,ARI
132,"Tuesday, Aug 29",ARI,LAD,W,7,6,,74-58,2,18.0,Godley,Hill,Rodney,3:08,N,25219,+++++,,2017,ARI
133,"Wednesday, Aug 30",ARI,LAD,W,6,4,,75-58,2,17.0,Ray,Ryu,Rodney,3:05,N,23321,++++++,,2017,ARI
134,"Thursday, Aug 31",ARI,LAD,W,8,1,,76-58,2,16.0,Greinke,Maeda,,3:02,D,19882,+++++++,,2017,ARI
141,"Friday, Sep 8",ARI,SDP,L,6,10,,82-59,2,10.0,Lyles,Corbin,,3:36,N,27988,-,,2017,ARI
142,"Saturday, Sep 9",ARI,SDP,L,7,8,,82-60,2,10.0,Maton,Rodney,Hand,3:33,N,34156,--,,2017,ARI
143,"Sunday, Sep 10",ARI,SDP,W,3,2,,83-60,2,9.0,Ray,Perdomo,Bradley,2:58,D,23854,+,,2017,ARI
144,"Monday, Sep 11",ARI,COL,L,4,5,,83-61,2,9.0,Anderson,Barrett,Holland,3:40,N,24178,-,,2017,ARI
145,"Tuesday, Sep 12",ARI,COL,L,2,4,,83-62,2,10.0,Gray,Hernandez,Rusin,2:54,N,27526,--,,2017,ARI
146,"Wednesday, Sep 13",ARI,COL,W,8,2,,84-62,2,10.0,Corbin,Marquez,,3:00,N,26714,+,,2017,ARI
147,"Thursday, Sep 14",ARI,COL,W,7,0,,85-62,2,9.5,Godley,Bettis,,2:53,D,20317,++,,2017,ARI
154,"Friday, Sep 22",ARI,MIA,W,13,11,,89-65,2,9.0,Hoover,McGowan,Rodney,3:54,N,34588,++,,2017,ARI
155,"Saturday, Sep 23",ARI,MIA,L,6,12,,89-66,2,9.0,Ellington,Walker,,3:51,N,39259,-,,2017,ARI
156,"Sunday, Sep 24",ARI,MIA,W-wo,3,2,,90-66,2,9.0,Rodney,Nicolino,,3:10,D,31539,+,,2017,ARI
157,"Monday, Sep 25",ARI,SFG,L,2,9,,90-67,2,10.0,Cueto,Godley,,3:09,N,22813,-,,2017,ARI
158,"Tuesday, Sep 26",ARI,SFG,W,11,4,,91-67,2,10.0,Ray,Moore,,3:23,N,27487,+,,2017,ARI
159,"Wednesday, Sep 27",ARI,SFG,W-wo,4,3,,92-67,2,10.0,Hoover,Dyson,,3:20,D,20048,++,,2017,ARI
1,"Thursday, Mar 29",ARI,COL,W,8,2,,1-0,1,Tied,Corbin,Gray,,3:36,N,48703,+,,2018,ARI
2,"Friday, Mar 30",ARI,COL,W,9,8,,2-0,1,Tied,Ray,Senzatela,Boxberger,3:22,N,23937,++,,2018,ARI
3,"Saturday, Mar 31",ARI,COL,L,1,2,,2-1,1,Tied,Shaw,Salas,Davis,2:54,N,33346,-,,2018,ARI
4,"Monday, Apr 2",ARI,LAD,W-wo,8,7,15,3-1,1,up 1.0,Salas,Font,,5:46,N,21735,+,,2018,ARI
5,"Tuesday, Apr 3",ARI,LAD,W,6,1,,4-1,1,up 2.0,Godley,Kershaw,,2:48,N,27574,++,,2018,ARI
6,"Wednesday, Apr 4",ARI,LAD,W,3,0,,5-1,1,up 2.0,Corbin,Wood,Boxberger,2:25,D,25754,+++,,2018,ARI
16,"Tuesday, Apr 17",ARI,SFG,W,1,0,,12-4,1,up 2.5,Corbin,Watson,,2:05,N,19669,+,,2018,ARI
17,"Wednesday, Apr 18",ARI,SFG,L,3,4,10,12-5,1,up 2.5,Strickland,Boxberger,Gearrin,3:44,N,16976,-,,2018,ARI
18,"Thursday, Apr 19",ARI,SFG,W,3,1,,13-5,1,up 3.0,Greinke,Blach,Boxberger,2:23,N,18736,+,,2018,ARI
19,"Friday, Apr 20",ARI,SDP,L,1,4,,13-6,1,up 3.0,Hand,Boxberger,,2:54,N,24902,-,,2018,ARI
20,"Saturday, Apr 21",ARI,SDP,W,6,2,,14-6,1,up 3.0,Godley,Richard,,2:55,N,38820,+,,2018,ARI
21,"Sunday, Apr 22",ARI,SDP,W,4,2,,15-6,1,up 4.0,Corbin,Lucchesi,Bradley,2:42,D,31061,++,,2018,ARI
28,"Monday, Apr 30",ARI,LAD,W,8,5,,20-8,1,up 5.5,Greinke,Stripling,Boxberger,3:27,N,17562,+,,2018,ARI
29,"Tuesday, May 1",ARI,LAD,W,4,3,,21-8,1,up 6.0,Bracho,Liberatore,Boxberger,3:12,N,18940,++,,2018,ARI
30,"Wednesday, May 2",ARI,LAD,L,1,2,,21-9,1,up 5.0,Hudson,Godley,Jansen,3:12,N,19531,-,,2018,ARI
31,"Thursday, May 3",ARI,LAD,L,2,5,,21-10,1,up 4.5,Chargois,Salas,Jansen,3:17,D,21407,--,,2018,ARI
32,"Friday, May 4",ARI,HOU,L,0,8,,21-11,1,up 3.5,Cole,Medlen,,2:50,N,29463,---,,2018,ARI
33,"Saturday, May 5",ARI,HOU,W-wo,4,3,,22-11,1,up 3.5,Boxberger,Devenski,,3:34,N,39154,+,,2018,ARI
34,"Sunday, May 6",ARI,HOU,W,3,1,,23-11,1,up 3.5,Koch,Verlander,Boxberger,2:55,D,35632,++,,2018,ARI
37,"Thursday, May 10",ARI,WSN,L,1,2,11,24-13,1,up 3.5,Kintzler,Salas,Doolittle,3:42,N,17397,--,,2018,ARI
38,"Friday, May 11",ARI,WSN,L,1,3,,24-14,1,up 3.5,Scherzer,Koch,Doolittle,2:24,N,22901,---,,2018,ARI
39,"Saturday, May 12",ARI,WSN,L,1,2,,24-15,1,up 2.5,Strasburg,Scribner,Madson,3:17,D,29428,----,,2018,ARI
40,"Sunday, May 13",ARI,WSN,L,4,6,,24-16,1,up 2.5,Madson,Bradley,Doolittle,3:09,N,31906,-----,,2018,ARI
41,"Monday, May 14",ARI,MIL,L,2,7,,24-17,1,up 1.5,Guerra,Corbin,,3:06,N,17390,------,,2018,ARI
42,"Tuesday, May 15",ARI,MIL,W,2,1,,25-17,1,up 2.5,Bradley,Williams,Boxberger,2:40,N,17914,+,,2018,ARI
43,"Wednesday, May 16",ARI,MIL,L,2,8,,25-18,1,up 2.0,Woodruff,Koch,,3:04,D,16762,-,,2018,ARI
53,"Monday, May 28",ARI,CIN,W,12,5,,27-26,2,1.5,Koch,Bailey,,3:19,D,29924,+,,2018,ARI
54,"Tuesday, May 29",ARI,CIN,W,5,2,,28-26,2,1.5,Godley,Castillo,Boxberger,2:40,N,20046,++,,2018,ARI
55,"Wednesday, May 30",ARI,CIN,L,4,7,,28-27,2,1.5,Romano,Corbin,Iglesias,3:06,D,18340,-,,2018,ARI
56,"Friday, Jun 1",ARI,MIA,W,9,1,,29-27,2,0.5,Buchholz,Hernandez,,2:40,N,25866,+,,2018,ARI
57,"Saturday, Jun 2",ARI,MIA,W,6,2,,30-27,1,up 0.5,Greinke,Smith,,3:01,N,34117,++,,2018,ARI
58,"Sunday, Jun 3",ARI,MIA,W,6,1,,31-27,1,up 1.5,Koch,Straily,,2:47,D,31727,+++,,2018,ARI
65,"Monday, Jun 11",ARI,PIT,W,9,5,,36-29,1,up 3.0,Bradley,Crick,,3:07,N,20927,++++,,2018,ARI
66,"Tuesday, Jun 12",ARI,PIT,W,13,8,,37-29,1,up 3.0,Salas,Williams,,3:56,N,22488,+++++,,2018,ARI
67,"Wednesday, Jun 13",ARI,PIT,L,4,5,,37-30,1,up 2.0,Taillon,Greinke,Vazquez,3:07,D,32803,-,,2018,ARI
68,"Thursday, Jun 14",ARI,NYM,W,6,3,,38-30,1,up 2.5,Koch,Vargas,Boxberger,2:38,N,23300,+,,2018,ARI
69,"Friday, Jun 15",ARI,NYM,W,7,3,,39-30,1,up 2.5,Godley,Lugo,Boxberger,3:20,N,32170,++,,2018,ARI
70,"Saturday, Jun 16",ARI,NYM,L,1,5,,39-31,1,up 1.5,Matz,Corbin,,2:56,N,31824,-,,2018,ARI
71,"Sunday, Jun 17",ARI,NYM,L,3,5,,39-32,1,up 1.5,Familia,Boxberger,Gsellman,3:27,D,47907,--,,2018,ARI
82,"Friday, Jun 29",ARI,SFG,L,1,2,,47-35,1,up 3.5,Suarez,Chafin,Smith,2:49,N,30981,-,,2018,ARI
83,"Saturday, Jun 30",ARI,SFG,L,0,7,,47-36,1,up 3.5,Rodriguez,Miller,,2:51,N,38117,--,,2018,ARI
84,"Sunday, Jul 1",ARI,SFG,L,6,9,,47-37,1,up 2.5,Gearrin,Godley,Smith,3:45,D,29721,---,,2018,ARI
85,"Monday, Jul 2",ARI,STL,L,3,6,,47-38,1,up 1.5,Martinez,Ray,Norris,2:52,N,20334,----,,2018,ARI
86,"Tuesday, Jul 3",ARI,STL,W,4,2,,48-38,1,up 1.5,Greinke,Flaherty,Boxberger,2:51,N,25843,+,,2018,ARI
87,"Wednesday, Jul 4",ARI,STL,L,4,8,,48-39,1,up 0.5,Mikolas,Hirano,,3:47,N,44072,-,,2018,ARI
88,"Thursday, Jul 5",ARI,SDP,L,3,6,,48-40,1,Tied,Lauer,Miller,Hand,3:15,N,17982,--,,2018,ARI
89,"Friday, Jul 6",ARI,SDP,W,3,1,,49-40,1,up 1.0,Godley,Lucchesi,Boxberger,2:52,N,25128,+,,2018,ARI
90,"Saturday, Jul 7",ARI,SDP,W,20,5,,50-40,1,up 1.0,Delgado,Ross,,3:23,N,27091,++,,2018,ARI
91,"Sunday, Jul 8",ARI,SDP,L,3,4,16,50-41,1,up 1.0,Hand,Mathis,,5:31,D,24869,-,,2018,ARI
98,"Friday, Jul 20",ARI,COL,L,10,11,,53-45,2,1.5,Oberg,Bradley,Ottavino,4:02,N,29546,--,,2018,ARI
99,"Saturday, Jul 21",ARI,COL,L,5,6,,53-46,3,1.5,Oberg,Hirano,Davis,3:21,N,43340,---,,2018,ARI
100,"Sunday, Jul 22",ARI,COL,W,6,1,,54-46,2,1.5,Greinke,Senzatela,,2:45,D,32985,+,,2018,ARI
108,"Monday, Jul 30",ARI,TEX,L,5,9,,59-49,2,0.5,Butler,Andriese,,3:33,N,20639,-,,2018,ARI
109,"Tuesday, Jul 31",ARI,TEX,W,6,0,,60-49,1,up 0.5,Godley,Colon,,2:45,N,21877,+,,2018,ARI
110,"Thursday, Aug 2",ARI,SFG,L,1,8,,60-50,2,1.0,Bumgarner,Greinke,,3:26,N,22980,-,,2018,ARI
111,"Friday, Aug 3",ARI,SFG,W,6,3,,61-50,1,Tied,Corbin,Stratton,Boxberger,2:59,N,27581,+,,2018,ARI
112,"Saturday, Aug 4",ARI,SFG,W,9,3,,62-50,1,up 1.0,Buchholz,Suarez,,2:59,N,38093,++,,2018,ARI
113,"Sunday, Aug 5",ARI,SFG,L,2,3,,62-51,1,Tied,Black,Bradley,Smith,3:15,D,27884,-,,2018,ARI
114,"Monday, Aug 6",ARI,PHI,W-wo,3,2,14,63-51,1,up 0.5,Hirano,Davis,,4:38,N,21131,+,,2018,ARI
115,"Tuesday, Aug 7",ARI,PHI,L,2,5,,63-52,2,0.5,Pivetta,Greinke,Neshek,3:08,N,22382,-,,2018,ARI
116,"Wednesday, Aug 8",ARI,PHI,W,6,0,,64-52,1,up 0.5,Corbin,Velasquez,,2:58,D,23384,+,,2018,ARI
126,"Tuesday, Aug 21",ARI,LAA,W-wo,5,4,,70-56,1,up 1.5,Boxberger,Bedrosian,,2:54,N,30420,++,,2018,ARI
127,"Wednesday, Aug 22",ARI,LAA,W,5,1,,71-56,1,up 1.5,Buchholz,Despaigne,,3:05,N,23584,+++,,2018,ARI
128,"Friday, Aug 24",ARI,SEA,L,3,6,,71-57,1,up 1.0,Ramirez,Godley,Diaz,2:47,N,43867,-,,2018,ARI
129,"Saturday, Aug 25",ARI,SEA,L,3,4,10,71-58,1,Tied,Colome,Diekman,Diaz,4:11,N,34968,--,,2018,ARI
130,"Sunday, Aug 26",ARI,SEA,W,5,2,,72-58,1,up 1.0,Greinke,Leake,Boxberger,2:48,D,37175,+,,2018,ARI
138,"Monday, Sep 3",ARI,SDP,L,2,6,,74-64,3,1.5,Mitchell,Godley,,3:19,N,22514,----,,2018,ARI
139,"Tuesday, Sep 4",ARI,SDP,W,6,0,,75-64,3,1.5,Ray,Lucchesi,,2:47,N,18556,+,,2018,ARI
140,"Thursday, Sep 6",ARI,ATL,L,6,7,10,75-65,3,2.5,Biddle,Boxberger,Brach,4:11,N,21903,-,,2018,ARI
141,"Friday, Sep 7",ARI,ATL,W,5,3,,76-65,3,1.5,Corbin,Gausman,Boxberger,3:48,N,31308,+,,2018,ARI
142,"Saturday, Sep 8",ARI,ATL,L,4,5,10,76-66,3,2.5,Sobotka,Chafin,Minter,4:07,N,40482,-,,2018,ARI
143,"Sunday, Sep 9",ARI,ATL,L,5,9,,76-67,3,2.5,Freeman,Boxberger,,3:45,D,28339,--,,2018,ARI
151,"Monday, Sep 17",ARI,CHC,L,1,5,,78-73,3,5.0,Hendricks,Corbin,,2:46,N,27662,---,,2018,ARI
152,"Tuesday, Sep 18",ARI,CHC,L,1,9,,78-74,3,6.0,Montgomery,Andriese,,3:10,N,26095,----,,2018,ARI
153,"Wednesday, Sep 19",ARI,CHC,W,9,0,,79-74,3,6.0,Ray,Hamels,,2:20,N,25715,+,,2018,ARI
154,"Friday, Sep 21",ARI,COL,L,2,6,,79-75,3,6.0,Marquez,Greinke,,2:54,N,28833,-,,2018,ARI
155,"Saturday, Sep 22",ARI,COL,L,1,5,,79-76,3,7.0,Senzatela,Corbin,,3:02,N,35094,--,,2018,ARI
156,"Sunday, Sep 23",ARI,COL,L,0,2,,79-77,3,8.0,Freeland,Godley,Davis,3:15,D,29191,---,,2018,ARI
157,"Monday, Sep 24",ARI,LAD,L,4,7,,79-78,3,9.0,Kershaw,Chafin,,3:33,N,26067,----,,2018,ARI
158,"Tuesday, Sep 25",ARI,LAD,W-wo,4,3,,80-78,3,8.0,Boxberger,Maeda,,3:23,N,25774,+,,2018,ARI
159,"Wednesday, Sep 26",ARI,LAD,W,7,2,,81-78,3,7.5,Greinke,Stripling,,3:14,N,31149,++,,2018,ARI
8,"Friday, Apr 5",ARI,BOS,W,15,8,,4-4,3,2.0,Godley,Porcello,,3:23,D,48338,+,,2019,ARI
9,"Saturday, Apr 6",ARI,BOS,W-wo,5,4,,5-4,3,2.0,Holland,Brewer,,3:19,N,35969,++,,2019,ARI
10,"Sunday, Apr 7",ARI,BOS,L,0,1,,5-5,3,3.0,Walden,Kelly,Brasier,2:29,D,31565,-,,2019,ARI
11,"Tuesday, Apr 9",ARI,TEX,W-wo,5,4,,6-5,3,1.5,Andriese,Leclerc,,2:48,N,16620,+,,2019,ARI
12,"Wednesday, Apr 10",ARI,TEX,L,2,5,,6-6,3,1.5,Lynn,Chafin,Bird,3:35,N,15871,-,,2019,ARI
13,"Thursday, Apr 11",ARI,SDP,L,6,7,,6-7,3,2.5,Stammen,Bradley,Wingenter,3:13,N,15449,--,,2019,ARI
14,"Friday, Apr 12",ARI,SDP,L,1,2,,6-8,3,3.5,Reyes,Weaver,Yates,2:38,N,22209,---,,2019,ARI
15,"Saturday, Apr 13",ARI,SDP,L,4,5,,6-9,4,4.5,Stammen,Andriese,Yates,3:41,N,27256,----,,2019,ARI
16,"Sunday, Apr 14",ARI,SDP,W,8,4,,7-9,3,3.5,Greinke,Lauer,,2:49,D,25489,+,,2019,ARI
27,"Friday, Apr 26",ARI,CHC,W,8,3,,16-11,2,0.5,Ray,Hendricks,Andriese,3:04,N,30664,+++++,,2019,ARI
28,"Saturday, Apr 27",ARI,CHC,L,1,9,,16-12,3,1.5,Darvish,Godley,,3:05,N,27793,-,,2019,ARI
29,"Sunday, Apr 28",ARI,CHC,L,5,6,15,16-13,3,2.5,Chatwood,Andriese,Webster,5:36,D,29477,--,,2019,ARI
30,"Tuesday, Apr 30",ARI,NYY,W,3,1,,17-13,2,2.0,Greinke,Sabathia,Holland,2:33,N,36352,+,,2019,ARI
31,"Wednesday, May 1",ARI,NYY,W,3,2,,18-13,2,1.0,Kelly,Tanaka,Holland,3:12,D,31365,++,,2019,ARI
38,"Thursday, May 9",ARI,ATL,W-wo,3,2,10,22-16,2,2.0,Duplantier,Minter,,3:13,N,17751,++,,2019,ARI
39,"Friday, May 10",ARI,ATL,L,1,2,,22-17,2,3.0,Winkler,Lopez,Jackson,3:00,N,21932,-,,2019,ARI
40,"Saturday, May 11",ARI,ATL,L,4,6,,22-18,2,3.0,Gausman,Kelly,Venters,3:09,N,33168,--,,2019,ARI
41,"Sunday, May 12",ARI,ATL,L,3,5,,22-19,2,4.0,Fried,Godley,Jackson,3:21,D,27460,---,,2019,ARI
42,"Monday, May 13",ARI,PIT,W,9,3,,23-19,2,3.5,Ray,Kingham,,3:27,N,15418,+,,2019,ARI
43,"Tuesday, May 14",ARI,PIT,L,2,6,,23-20,2,4.5,Musgrove,Weaver,,2:45,N,21047,-,,2019,ARI
44,"Wednesday, May 15",ARI,PIT,W,11,1,,24-20,2,4.5,Greinke,Archer,,2:58,D,17258,+,,2019,ARI
45,"Friday, May 17",ARI,SFG,W,7,0,,25-20,2,4.5,Kelly,Samardzija,,3:06,N,26806,++,,2019,ARI
46,"Saturday, May 18",ARI,SFG,L,5,8,,25-21,2,4.5,Bumgarner,Godley,,3:24,N,25014,-,,2019,ARI
47,"Sunday, May 19",ARI,SFG,L,2,3,10,25-22,2,5.5,Dyson,Hirano,Smith,3:28,D,24061,--,,2019,ARI
58,"Friday, May 31",ARI,NYM,L,4,5,,28-30,4,11.0,Wheeler,Andriese,Gsellman,3:14,N,24664,-----,,2019,ARI
59,"Saturday, Jun 1",ARI,NYM,W-wo,6,5,11,29-30,4,11.0,Hirano,Bashlor,,3:42,N,34888,+,,2019,ARI
60,"Sunday, Jun 2",ARI,NYM,W,7,1,,30-30,4,11.0,Kelly,Matz,,2:37,D,26945,++,,2019,ARI
61,"Monday, Jun 3",ARI,LAD,L,1,3,,30-31,4,12.0,Buehler,Ray,Jansen,2:26,N,24124,-,,2019,ARI
62,"Tuesday, Jun 4",ARI,LAD,L,0,9,,30-32,4,13.0,Ryu,Clarke,,3:07,N,29784,--,,2019,ARI
63,"Wednesday, Jun 5",ARI,LAD,W-wo,3,2,11,31-32,4,12.0,Godley,Alexander,,3:27,D,22753,+,,2019,ARI
74,"Tuesday, Jun 18",ARI,COL,L,1,8,,38-36,3,11.0,Senzatela,Kelly,,2:51,N,22954,--,,2019,ARI
75,"Wednesday, Jun 19",ARI,COL,L,4,6,,38-37,3,12.0,Gray,Greinke,Davis,2:55,N,21773,---,,2019,ARI
76,"Thursday, Jun 20",ARI,COL,L,4,6,10,38-38,4,13.0,Oberg,Hirano,,4:08,D,23294,----,,2019,ARI
